Temperature,G6,G7,G8,G9,G10,G11,G12,G13,G14,H6,H7,H8,H9,H10,H11,H12,H13,H14,I6,I7,I8,I9,I10,I11,I12,I13,I14,J6,J7,J8,J9,J10,J11,J12,J13,J14
71.2,3610.489203,3576.103515,3527.619652,3586.053482,3482.023207,3598.479507,3651.591774,3561.210155,3641.673114,3513.170174,3583.751647,3589.971824,3563.04671,3588.682858,3594.827266,3612.518575,3596.702933,3629.190335,3639.89115,3571.489379,3564.990684,3638.381213,3580.254704,3623.253064,3587.332832,3717.009749,3683.008404,3625.968479,3547.031186,3514.857196,3605.484696,3635.167773,3611.139475,3571.08684,3667.466141,3641.427632
71.4,3605.613828,3571.194278,3523.255375,3581.717173,3477.373996,3594.043735,3647.773512,3556.976449,3636.784948,3508.068081,3578.400102,3584.192711,3557.977495,3583.570953,3589.555535,3606.652726,3592.075371,3623.881404,3634.787956,3566.465831,3560.300804,3632.911612,3575.257162,3617.373477,3581.750371,3710.83272,3677.377874,3621.634249,3541.647877,3510.435179,3600.390492,3629.541259,3605.387896,3565.142613,3661.840795,3635.873021
71.6,3600.565998,3566.049647,3518.665519,3577.029158,3472.601245,3589.064628,3643.414099,3552.351146,3631.85481,3502.635567,3573.0373,3578.415673,3552.657394,3577.998719,3583.902356,3600.815753,3586.976979,3618.441237,3629.74959,3561.155007,3555.276089,3627.268876,3569.87511,3611.291708,3575.924437,3704.731076,3671.755743,3616.895996,3535.892172,3505.481081,3594.892749,3623.734928,3599.406841,3559.405294,3655.927243,3630.11846
71.8,3595.451321,3560.510341,3513.911894,3572.118623,3468.035561,3583.854726,3638.564525,3547.248936,3626.932753,3497.107416,3567.668996,3572.319228,3546.938636,3572.216911,3578.000137,3594.950738,3581.409815,3613.021339,3624.396173,3555.468074,3550.046587,3621.435977,3564.558569,3605.354785,3570.219297,3698.271001,3665.865131,3611.523817,3530.110105,3500.515141,3589.296229,3617.62974,3593.228817,3553.589806,3649.742127,3624.289222
72,3590.133472,3554.745273,3508.915437,3567.007231,3463.549468,3578.529102,3633.33345,3541.946145,3622.057219,3491.602124,3562.096747,3566.132883,3541.208396,3566.475236,3572.1011,3589.212692,3575.686835,3607.449305,3618.740317,3549.59954,3544.540196,3615.749114,3558.973205,3599.56687,3564.66965,3691.953763,3660.008866,3605.542384,3524.234516,3495.42812,3583.464967,3611.566426,3587.367845,3547.905654,3643.476817,3618.609649
72.2,3584.688079,3548.746713,3503.525305,3561.496995,3459.105621,3572.94327,3627.779032,3536.382164,3617.338865,3486.13729,3556.264383,3559.913509,3535.486597,3560.811377,3566.328641,3583.602327,3570.007032,3601.793601,3612.893431,3543.736871,3539.028392,3610.152224,3553.084614,3593.73502,3559.004989,3685.722979,3654.30656,3599.414278,3518.387513,3490.268237,3577.516458,3605.726656,3581.500301,3542.059629,3637.082604,3612.693465
72.4,3579.243905,3542.890171,3498.097998,3555.825529,3454.644975,3567.163016,3622.199979,3530.7654,3612.604887,3480.860524,3550.397571,3553.928217,3529.742412,3555.482285,3560.61442,3577.932399,3564.304699,3596.310271,3606.959148,3537.817867,3533.498786,3604.382008,3547.403603,3588.068762,3553.399569,3679.550907,3648.681853,3593.275561,3512.408455,3484.920047,3571.801936,3599.85232,3575.833002,3536.353672,3630.558914,3606.870065
72.6,3573.582319,3536.856152,3492.673215,3550.290092,3450.214256,3561.331766,3616.580397,3525.029801,3607.718348,3475.651993,3544.410307,3548.113685,3523.928057,3550.152094,3555.090379,3572.088161,3558.594909,3590.990353,3600.777139,3531.843758,3528.117728,3598.562805,3541.804971,3582.311675,3547.883835,3673.122664,3642.791217,3587.15864,3506.391936,3479.820117,3566.019532,3593.947885,3570.087496,3530.522515,3624.148757,3601.25242
72.8,3567.760046,3530.942735,3487.266187,3544.722693,3445.494005,3555.484284,3611.078512,3519.324198,3602.697528,3470.191105,3538.316835,3542.411658,3518.320743,3544.631491,3549.63777,3566.235669,3553.043753,3585.460982,3594.674589,3526.114346,3522.630619,3592.871568,3536.144449,3576.544164,3542.187146,3666.9356,3637.152517,3581.206233,3500.356717,3474.642752,3559.926755,3588.312959,3564.339423,3524.809581,3618.090275,3595.669869
73,3561.768,3525.175002,3481.970392,3539.254054,3440.71492,3549.71698,3605.488405,3513.531009,3597.508723,3464.647328,3532.12234,3536.713719,3512.71006,3538.961839,3544.061777,3560.471488,3547.52446,3580.137955,3588.775404,3520.279557,3517.251145,3587.241824,3530.537092,3570.774979,3536.280287,3660.640599,3631.431921,3575.322829,3494.301141,3469.391748,3553.797755,3582.49738,3558.373984,3518.912819,3611.961722,3590.028861
73.2,3555.836596,3519.496689,3476.853161,3534.020097,3435.990884,3544.151466,3599.959344,3507.699514,3592.083815,3459.111569,3526.174389,3530.948891,3507.170525,3533.062177,3538.357934,3554.775855,3541.900916,3574.76465,3583.005907,3514.544051,3511.837051,3581.491452,3525.240206,3565.122743,3530.446619,3654.397237,3625.660126,3569.569852,3488.385025,3464.257113,3547.866184,3576.408583,3552.364974,3513.188367,3606.080198,3584.686803
73.4,3549.953071,3513.822515,3471.598474,3528.871973,3431.262416,3538.600853,3594.271926,3501.70264,3586.533419,3453.59392,3520.255669,3524.991171,3501.765859,3527.0674,3532.656553,3549.200155,3536.497167,3569.382518,3577.446966,3508.868557,3506.640279,3575.947084,3520.010306,3559.365617,3524.642978,3648.243521,3619.905912,3563.711287,3482.447164,3459.29805,3541.901302,3570.474409,3546.183164,3507.535499,3600.556295,3579.297054
73.6,3544.278109,3508.224466,3466.396004,3523.569832,3426.63728,3533.071403,3588.695838,3495.742997,3581.150264,3448.079591,3514.428816,3518.843032,3496.408384,3521.220298,3526.878028,3543.922724,3531.174334,3564.041804,3572.09209,3503.380488,3501.301344,3570.521667,3514.935668,3553.705225,3518.836351,3642.103564,3614.253953,3557.931158,3476.848853,3454.398335,3535.998505,3564.660873,3540.337132,3502.164666,3594.965906,3573.77137
73.8,3538.530231,3502.412671,3461.452567,3518.227931,3422.227498,3527.590454,3583.142785,3489.761013,3575.863955,3442.891163,3508.627724,3512.72698,3491.082962,3515.656122,3520.992364,3538.688835,3525.839149,3558.944233,3566.898929,3497.752635,3496.181937,3565.089737,3509.780431,3547.891923,3513.254016,3635.952413,3608.550411,3552.11919,3471.280408,3449.436581,3530.354634,3558.836461,3534.75132,3496.662459,3589.019621,3568.229932
