;Температура;A1;B1;C1;D1;E1;F1;G1;H1
;71;20,6174978956568;26,6854863546217;33,1865107884502;37,2785895014891;-1,76971296164808;-2,90290859026641;-2,29503181004787;-1,09629549847199
;71,2;20,672465356233;26,4265661666244;32,2874526843611;37,0116548126728;-1,3630637566304;-1,15805722173036;-2,02409005745679;-1,2749302961484
;71,4;19,3477609657322;24,6214802721653;33,2277381968245;35,4334353779754;-1,86634397405669;-0,250245965067961;-0,465538305836333;-1,70700421006615
;71,6;19,6993581154322;23,4668987507436;35,3594996970278;34,8510508624474;-3,0636093248053;-0,170905676183679;-0,122532853838067;-1,06266418330293
;71,8;20,7172061465889;23,458970209694;35,1065583997692;35,5269082127208;-3,52015530285087;-0,020856428207594;-1,22762863723864;-0,125519352537964
;72;21,2333379020737;23,2937716699161;35,00019363967;35,9625587229064;-3,55872350646507;-0,407115300622536;-0,947160332340644;-0,272127319300495
;72,2;21,5916252038863;23,2891324413356;35,4686288699565;35,8746728459261;-2,94607203646592;-2,14758250051034;-0,794868685847234;0,260801521362737
;72,4;22,0855130966629;24,7866312096261;34,3847366889247;36,3919372265428;-1,61506798083124;-2,44059657407561;-2,03933370120623;0,703954925648134
;72,6;22,2126024304234;26,7283085533106;33,4050693079342;37,2638536489814;-0,116969353699687;-2,12362739980236;-2,13242955359377;-0,555153614718762
;72,8;22,4834611071532;26,8706607494008;33,2499105579734;37,3155522891227;1,26929110806586;-1,73532661370757;-1,72156501496048;-2,2673611539939
;73;21,7880257790156;26,7427604108769;32,456547394402;37,6856538688929;1,46367991540629;-1,71955177596956;-1,89515199577315;-3,08941172392011
;73,2;20,8437284539241;28,0106763921862;33,0514683760399;39,1815960980264;0,482819569919002;-1,3486328406816;-1,46798257153208;-4,00271872557951
;73,4;21,1832962908605;29,7282932764006;34,7944081323752;40,6498745052738;-0,184712974973849;-1,68564360383385;-0,98723536893246;-4,69227205588226
;73,6;20,9224260715737;30,4807283954199;34,4374128157912;41,8167272621324;-1,76366846381384;-2,04843154992773;-1,55569987337586;-3,89621392765505
